TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Core,Drip Grade,Face Decoration,Hat,Glasses,Necklace,Earring
1923,Milady 1923,roadside,alien,dilated,blue,mouse tank,bowl slate,,hypebeast-gyaru,ss-drip,,alien hat,,mestwood pearl necklace,
1924,Milady 1924,bushland,pink,sparkle,green,gold spray puffer,tuft purple,,prep-hypebeast,s-drip,,orange beret,,,safety pin piercing
1925,Milady 1925,sunrise,clay,teary,aqua,skull sweater,tuft blue,,hypebeast,normal,,,,,
1926,Milady 1926,bushland,clay,teary,blue,chore coat,bowl purple,,hypebeast-harajuku,b-drip,,cat earmuffs,round glasses,,
1927,Milady 1927,yashima,pink,sleepy,brown,gold spray puffer,og frosted blonde,,lolita-hypebeast,s-drip,,pink bonnet,prescription glasses,,dual rings gold
1928,Milady 1928,clouds,clay,dilated,aqua,kogal cardigan,braid blue,,prep-gyaru,normal,,shy saints cap,,,
1929,Milady 1929,clouds,pale,dilated,blue,heihei shirt,braid black,lean neck tattoo,harajuku-gyaru,a-drip,,cross cap white,,cherry necklace,
1930,Milady 1930,mountain,clay,classic,brown,bosozuku jacket,og blonde,,harajuku,normal,,,,,
1931,Milady 1931,casino,clay,sparkle,grey,ulzzang coat,tuft brown,,prep,normal,,,,,
1932,Milady 1932,bushland,pink,closed,brown,matagonia pullover,og frosted purple,lean neck tattoo,hypebeast-gyaru,ss-drip,,trucker im so,,fliphone lanyard,double safety pins
1933,Milady 1933,mountain,clay,classic,blue,kogal cardigan,short green,,prep,b-drip,,spotted fur hat,,,
1934,Milady 1934,sunrise,pale,classic,green,pink knit polo,short blonde,,prep-gyaru,normal,,trucker construction,,,
1935,Milady 1935,sunrise,pink,classic,brown,bear sweater,og orange,,prep,normal,,,round glasses,,
1936,Milady 1936,bushland,pink,sparkle,blue,special people shirt,bowl brown,,lolita-gyaru,normal,face piercings,bear hat,,,
1937,Milady 1937,xp,pink,sparkle,blue,blue ribbon tank,og frosted blonde,,gyaru,b-drip,,shy saints cap,,cherry necklace,
1938,Milady 1938,bushland,pink,crying,green,blue pink shirt,og blonde,,lolita-harajuku,normal,,bandana,,,
1939,Milady 1939,bushland,tan,sparkle,lilac,im cute im punk shirt,bowl green,,gyaru,c-drip,star heart tattoo,trucker anime,,,
1940,Milady 1940,mountain,clay,classic,green,blue sweatervest,tuft blue,,prep,normal,,,,,burger earring
1941,Milady 1941,roadside,pale,teary,brown,pink coat,short pink,,lolita-hypebeast,a-drip,,meedles headband,,,diamond stud
1942,Milady 1942,bushland,pink,dilated,brown,green blazer,short orange,,prep-hypebeast,c-drip,,treeprint bucket,,,
1943,Milady 1943,casino,pale,heart eyes,brown,sailor lolita,bowl black,spider neck tattoo,lolita,c-drip,,,,,loop chain earring
1944,Milady 1944,bushland,pale,classic,brown,ribbon lolita,bowl purple,,lolita,c-drip,black hearts tattoo,,,,cross earring
1945,Milady 1945,bjork,pink,classic,brown,gold spray puffer,braid brown,,hypebeast,b-drip,,,,,double safety pins
1946,Milady 1946,sunset,pink,classic,brown,red puffer,og blue,,hypebeast-gyaru,b-drip,temple cross tattoo,rhinestone skull cap,,,
1947,Milady 1947,sonora,clay,sleepy,blue,pink knit polo,tuft dark,,prep-gyaru,normal,,brown cowboy hat,,,
1948,Milady 1948,sonora,pale,classic,lilac,sweater and tie,braid purple,lean neck tattoo,prep-harajuku,s-drip,,kossphones,,,
1949,Milady 1949,casino,pink,sparkle,green,zip polo,tuft green,,harajuku-gyaru,s-drip,,trucker anime,,,heart pearls earring
1950,Milady 1950,roadside,clay,classic,blue,matagonia pullover,og frosted purple,,hypebeast-gyaru,a-drip,star heart tattoo,white cowboy hat,,,
1951,Milady 1951,bushland,clay,classic,green,mouse tank,og black,,gyaru,a-drip,face piercings,denim fish cap,sunglasses,cherry necklace,
1952,Milady 1952,casino,pale,smug,blue,malenciaga jersey,og blue,,hypebeast,b-drip,,,,,
1953,Milady 1953,sunset,pink,dilated,blue,blue ribbon tank,bowl blue,,prep-gyaru,b-drip,,earflap cap,,,diamond stud
1954,Milady 1954,bushland,pale,sleepy,green,blue ribbon tank,tuft purple,,gyaru,s-drip,,trucker hat 911,,silver coin necklace,burger earring
1955,Milady 1955,sunset,pink,sleepy,blue,blue sweatervest,bowl purple,,prep-gyaru,b-drip,star heart tattoo,denim fish cap,,coral cross necklace,
1956,Milady 1956,mountain,clay,classic,blue,hikki condition shirt,og blonde,,gyaru,normal,,,prescription glasses,,
1957,Milady 1957,casino,pink,crying,brown,western jacket,bowl slate,lean neck tattoo,lolita-hypebeast,a-drip,,maid hat,mottega sunglasses blue,,
1958,Milady 1958,sunset,clay,teary,blue,jesus tank,short orange,,harajuku-gyaru,c-drip,,bear ears,,coral cross necklace,double safety pins
1959,Milady 1959,sunset,pink,closed,green,tie dye shirt,og green,castle neck tattoo,harajuku,normal,star heart tattoo,,,,
1960,Milady 1960,sonora,pink,classic,green,blue ribbon tank,bowl slate,,lolita-gyaru,normal,,sailor hat,,,
1961,Milady 1961,casino,pale,classic,brown,mwo shirt,og frosted purple,,gyaru,a-drip,,workin cap,prescription glasses,,
1962,Milady 1962,clouds,tan,closed,brown,knit sweater,og green,,prep,c-drip,,,,girl necklace,
1963,Milady 1963,sunset,pale,crying,brown,ulzzang coat,bowl purple,,prep-gyaru,a-drip,,cross cap pink,,,strawberry earring
1964,Milady 1964,sunrise,pink,classic,leaf,blue sweatervest,og green,castle neck tattoo,prep,normal,nose ring gold,,,,
1965,Milady 1965,casino,pale,classic,green,blue pink shirt,tuft purple,,lolita,normal,,,,,
1966,Milady 1966,sunrise,alien,dilated,blue,bear sweater,braid blue,,prep,s-drip,face piercings,,,,flower earring
1967,Milady 1967,sonora,clay,dilated,blue,special people shirt,og orange,,gyaru,normal,,,harajuku glasses,,
1968,Milady 1968,nagano,pale,sparkle,blue,pink knit polo,bowl green,,prep,normal,,,,,
1969,Milady 1969,clouds,tan,teary,green,western jacket,bowl green,,lolita-hypebeast,c-drip,,pink bonnet,,,
1970,Milady 1970,sonora,pink,teary,brown,bear sweater,,,prep-harajuku,s-drip,temple cross tattoo,strawberry hat,mottega sunglasses yellow,,cherry earring
1971,Milady 1971,sunset,clay,sparkle,green,bowling shirt,og black,castle neck tattoo,hypebeast,c-drip,,,,milady beads,
1972,Milady 1972,mountain,black,sparkle,green,malenciaga jersey,braid black,,lolita-hypebeast,s-drip,,goth headband,,,
1973,Milady 1973,xp,pale,crying,blue,active dissident shirt,og frosted blonde,,lolita-gyaru,a-drip,star heart tattoo,goth headband,,,
1974,Milady 1974,xp,pale,sleepy,green,bowling shirt oriental,short pink,,hypebeast-harajuku,ss-drip,star heart tattoo,cake hat,mottega sunglasses blue,,safety pin piercing
1975,Milady 1975,yashima,clay,closed,brown,bear sweater,tuft purple,,prep,normal,,,,,
1976,Milady 1976,train,black,classic,green,jesus tank,braid blue,,lolita-gyaru,a-drip,,maid hat,,pearl necklace,cross earring
1977,Milady 1977,tennis,pink,dilated,blue,bowling shirt,braid green,,hypebeast-gyaru,s-drip,,trucker anime,,mestwood pearl necklace,dual rings gold
1978,Milady 1978,roadside,pink,closed,green,special people shirt,og frosted purple,,gyaru,a-drip,,trucker pink camo,,,
1979,Milady 1979,bushland,clay,sparkle,blue,bowling shirt oriental,og frosted blonde,,hypebeast-gyaru,b-drip,,denim fish cap,,smiley bead necklace,
1980,Milady 1980,clouds,tan,dilated,green,meline teddy,tuft brown,,prep-hypebeast,b-drip,,plaid bonnet,,,
1981,Milady 1981,roadside,tan,classic,blue,pink coat,short blue,,lolita,ss-drip,tyson tribal tattoo,cat ears with bell,mottega sunglasses yellow,,burger earring
1982,Milady 1982,roadside,clay,sleepy,green,tennis outfit,bowl green,,prep-gyaru,ss-drip,snakebites,trucker white rabbit,yy glasses,fliphone lanyard,strawberry earring
1983,Milady 1983,mountain,alien,dilated,aqua,mouse tank,tuft purple,,prep-gyaru,ss-drip,,earflap cap,yy glasses,pearl necklace,
1984,Milady 1984,bushland,pink,classic,blue,jesus tank,bowl purple,,gyaru,c-drip,,,,fliphone lanyard,
1985,Milady 1985,mountain,clay,sleepy,brown,meedles tracksuit,bowl slate,,lolita-hypebeast,normal,star heart tattoo,pink bonnet,prescription glasses,,
1986,Milady 1986,clouds,black,sleepy,blue,mape hoodie,tuft brown,,hypebeast,a-drip,,treeprint bucket,,,
1987,Milady 1987,nagano,pale,teary,green,bowling shirt oriental,og frosted blonde,lean neck tattoo,hypebeast,s-drip,,,,silver coin necklace,chain earrings
1988,Milady 1988,bushland,pink,teary,brown,ribbon lolita,og black,,lolita,normal,,,,,flower earring
1989,Milady 1989,tennis,clay,sleepy,brown,fuzzy coat,tuft brown,,prep-gyaru,b-drip,,trucker hat 911,,,cherry earring
1990,Milady 1990,casino,pale,crying,blue,matagonia pullover,tuft green,,hypebeast,normal,,,,pearl necklace,
1991,Milady 1991,casino,clay,classic,grey,leopard polo,tuft dark,,gyaru,a-drip,,white cowboy hat,,mestwood pearl necklace,
1992,Milady 1992,yashima,clay,sleepy,green,blue ribbon tank,og black,,lolita-gyaru,normal,,blue pink bow,,mestwood pearl necklace,
1993,Milady 1993,casino,clay,crying,green,blue ribbon tank,braid black,,prep-gyaru,normal,,tennis visor,,,
1994,Milady 1994,sunrise,pale,sparkle,green,maf rothko,bowl slate,,hypebeast,s-drip,,trucker gothic milady,harajuku glasses,,
1995,Milady 1995,bushland,tan,sparkle,green,mouse tank,tuft dark,,gyaru,c-drip,nose ring silver,,sunglasses,silver coin necklace,
1996,Milady 1996,mountain,tan,crying,blue,tie dye shirt,og frosted purple,,harajuku,c-drip,,,,,
1997,Milady 1997,mountain,pink,sparkle,brown,football shirt,tuft dark,,hypebeast-harajuku,a-drip,,cake hat,,,
1998,Milady 1998,sunset,pink,sparkle,brown,kogal cardigan,short blue,,lolita-prep,normal,,bear hat,,,
1999,Milady 1999,bushland,clay,dilated,green,bowling shirt oriental,bowl purple,,prep-hypebeast,s-drip,,orange beret,sunglasses,,
2000,Milady 2000,roadside,pale,dilated,blue,sweater and tie,short pink,,prep-gyaru,b-drip,star heart tattoo,trucker im so,,,
2001,Milady 2001,sonora,pale,sleepy,brown,remilia tank,bowl harajuku dye,,gyaru,a-drip,black hearts tattoo,,,,
2002,Milady 2002,nagano,pink,sparkle,grey,special people shirt,braid blue,,gyaru,c-drip,snakebites,,,,
2003,Milady 2003,sunset,pink,classic,brown,active dissident shirt,tuft brown,,gyaru,b-drip,,trucker construction,prescription glasses,,
2004,Milady 2004,clouds,tan,dilated,blue,chore coat,tuft brown,,hypebeast,c-drip,,,,,chrome cross
2005,Milady 2005,sonora,pale,sleepy,blue,mwo shirt,og orange,,gyaru,normal,,,,,cross earring
2006,Milady 2006,sunset,clay,sparkle,gold,bear sweater,braid blue,,prep,normal,,,,,
2007,Milady 2007,mountain,tan,dilated,green,black blazer,braid green,,prep,b-drip,,plaid bonnet,,,
2008,Milady 2008,sunrise,pale,dilated,green,football shirt,tuft purple,,hypebeast-gyaru,a-drip,milady pilled tattoo,trucker im so,,,
2009,Milady 2009,sunrise,pale,spiral,aqua,maf creeper,short pink,,lolita-hypebeast,s-drip,star heart tattoo,sailor hat,,,loop chain earring
2010,Milady 2010,sunrise,clay,dilated,aqua,special people shirt,bowl brown,,gyaru,normal,,,,,
2011,Milady 2011,roadside,clay,dilated,green,malenciaga jersey,braid blue,,hypebeast,s-drip,,,round glasses,,bar piercings
2012,Milady 2012,bushland,clay,dilated,gold,special people shirt,og blue,,gyaru,c-drip,,workin cap,,,
2013,Milady 2013,bushland,pink,teary,green,jesus tank,tuft green,,gyaru,normal,,,,lean neck tattoo,
2014,Milady 2014,bushland,pink,crying,blue,special people shirt,braid blue,,gyaru,normal,,,,,
2015,Milady 2015,sunrise,tan,sleepy,brown,western jacket,tuft brown,anime chest tattoo,hypebeast-gyaru,a-drip,,flower clip,,,dual rings gold
2016,Milady 2016,clouds,pale,dilated,leaf,malenciaga neon,bowl blue,castle neck tattoo,hypebeast,ss-drip,face piercings,buckethat,harajuku glasses,,
2017,Milady 2017,bushland,pink,dilated,brown,leopard vest,bowl brown,,prep-harajuku,b-drip,black hearts tattoo,ivy cap,,,double safety pins
2018,Milady 2018,clouds,tan,sparkle,blue,zip polo,og black,,lolita-harajuku,a-drip,,blue pink bow,,mestwood pearl necklace,
2019,Milady 2019,sunrise,clay,sleepy,brown,super lover shirt,bowl blue,,gyaru,b-drip,snakebites,aloha visor,,,
2020,Milady 2020,tennis,pale,sleepy,blue,knit sweater,tuft green,,prep-hypebeast,a-drip,temple cross tattoo,buckethat,,coral cross necklace,diamond stud
2021,Milady 2021,mountain,clay,teary,blue,meedles tracksuit,og blue,,hypebeast-gyaru,b-drip,,trucker pink camo,prescription glasses,,double safety pins
2022,Milady 2022,sonora,clay,sparkle,brown,mouse tank,bowl brown,,gyaru,normal,,,,,
2023,Milady 2023,sunrise,pale,classic,aqua,sailor lolita,og green,,lolita-gyaru,c-drip,,cross cap pink,,,
2024,Milady 2024,streets,black,dilated,green,jesus tank,bowl blue,,gyaru,b-drip,,,,fliphone lanyard,
2025,Milady 2025,roadside,pink,classic,blue,ribbon lolita,og frosted blonde,castle neck tattoo,lolita-gyaru,a-drip,temple cross tattoo,brown cowboy hat,,,loop chain earring
2026,Milady 2026,bushland,pink,teary,green,mape hoodie,bowl slate,,hypebeast,c-drip,milady pilled tattoo,,,,
2027,Milady 2027,sunrise,clay,closed,green,meline teddy,tuft dark,,lolita-hypebeast,c-drip,,pink bonnet,,,
2028,Milady 2028,sunrise,clay,sleepy,brown,maf rothko,tuft green,,hypebeast,normal,nose ring silver,,,,
2029,Milady 2029,yashima,pale,sleepy,blue,kogal cardigan,bowl green,,lolita-prep,b-drip,tyson tribal tattoo,sailor hat,,,cross earring
2030,Milady 2030,yashima,clay,classic,brown,sweater and tie,og blue,,prep,c-drip,,,prescription glasses,,loop chain earring
2031,Milady 2031,clouds,clay,classic,brown,peter pan collar shirt,og blue,,lolita,normal,,,,,
2032,Milady 2032,clouds,pink,sparkle,green,mouse tank,short blonde,,gyaru,c-drip,,trucker construction,,,
2033,Milady 2033,mountain,pink,teary,brown,mouse tank,tuft brown,,prep-gyaru,c-drip,,tennis visor,,milady beads,
2034,Milady 2034,sunset,clay,sparkle,blue,red puffer,tuft purple,,lolita-hypebeast,c-drip,,sailor hat,prescription glasses,,
2035,Milady 2035,clouds,pale,teary,blue,bear sweater,tuft purple,,lolita-prep,b-drip,,goth headband,,,strawberry earring
2036,Milady 2036,streets,pale,teary,green,leopard polo,bowl brown,lean neck tattoo,gyaru,ss-drip,,aloha visor,,lean neck tattoo,dual rings silver
2037,Milady 2037,sunset,pink,dilated,green,super lover shirt,og blonde,spider neck tattoo,prep-gyaru,normal,,beret,,,
2038,Milady 2038,mountain,tan,spiral,blue,mouse tank,bowl harajuku dye,,gyaru,ss-drip,,workin cap,,milady beads,
2039,Milady 2039,sonora,pale,smug,brown,malenciaga jersey,short orange,,prep-hypebeast,s-drip,,bean hat,,,
2040,Milady 2040,nagano,pink,sparkle,brown,bear sweater,tuft blue,,prep,c-drip,,,,,flower earring
2041,Milady 2041,sunset,pink,classic,brown,mwo shirt,short orange,,gyaru,c-drip,nose ring silver,,,,
2042,Milady 2042,sunset,clay,classic,blue,fuzzy coat,bowl blue,,prep,normal,,,,,
2043,Milady 2043,sunset,clay,classic,brown,knit sweater,bowl purple,,prep,normal,,,round glasses,smiley bead necklace,
2044,Milady 2044,clouds,pink,crying,green,fuzzy coat,bowl blue,,prep,a-drip,,orange beret,,,
2045,Milady 2045,bushland,pale,dilated,blue,mouse tank,og blonde,,lolita-gyaru,normal,,fuzz earmuffs,prescription glasses,evil eye necklace,
2046,Milady 2046,sunset,pink,dilated,aqua,leopard vest,bowl green,,prep-harajuku,a-drip,,spotted fur hat,round glasses,,dual rings silver
2047,Milady 2047,bushland,pink,dilated,blue,sheep pullover,og blue,,prep,normal,,,,,
2048,Milady 2048,tennis,pale,sparkle,grey,maf rothko,og green,,hypebeast-gyaru,c-drip,,trucker im so,,,
2049,Milady 2049,mountain,black,dilated,green,meline teddy,bowl purple,,prep-hypebeast,ss-drip,,earflap cap,,,chain earrings
2050,Milady 2050,sunrise,pale,sparkle,blue,hikki condition shirt,og frosted blonde,,gyaru,normal,nose ring silver,,,,
2051,Milady 2051,bushland,tan,teary,blue,western jacket,braid black,,hypebeast-gyaru,b-drip,,workin cap,,,
2052,Milady 2052,sunset,pale,classic,green,pink coat,og blue,castle neck tattoo,lolita,normal,nose ring gold,,,,
2053,Milady 2053,tennis,pale,teary,blue,green blazer,short orange,lean neck tattoo,prep-gyaru,a-drip,,cross cap white,,,chrome cross
2054,Milady 2054,roadside,pink,crying,brown,blue sweatervest,bowl brown,,prep-harajuku,c-drip,teardrops tattoo,heihei hat,,,
2055,Milady 2055,sunset,clay,teary,green,gold spray puffer,og orange,spider neck tattoo,hypebeast,c-drip,star heart tattoo,,,,
2056,Milady 2056,roadside,tan,sparkle,blue,mape hoodie,short blue,lean neck tattoo,hypebeast,b-drip,star heart tattoo,,,,
2057,Milady 2057,sunset,clay,sparkle,green,blue sweatervest,bowl slate,,lolita-prep,normal,,goth headband,,,
2058,Milady 2058,roadside,pink,heart eyes,blue,blue sweatervest,og frosted blonde,,prep-hypebeast,b-drip,,trucker gothic milady,,silver coin necklace,
2059,Milady 2059,sunset,pink,closed,brown,fleece paisley jacket,tuft green,,hypebeast-gyaru,a-drip,,cross cap white,,mestwood pearl necklace,
2060,Milady 2060,sunrise,pink,sparkle,green,mwo shirt,bowl slate,,gyaru,a-drip,star heart tattoo,brown cowboy hat,,,chrome cross
2061,Milady 2061,clouds,black,classic,blue,peter pan collar shirt,bowl slate,anime chest tattoo,lolita,ss-drip,,sailor hat,prescription glasses,,chain earrings
2062,Milady 2062,sonora,pink,classic,green,im cute im punk shirt,tuft green,,prep-gyaru,normal,,bean hat,,,
2063,Milady 2063,sunset,pale,classic,green,mape hoodie,short green,anime chest tattoo,hypebeast,normal,,,,,
2064,Milady 2064,mountain,clay,teary,brown,peter pan collar shirt,short blonde,,lolita-prep,c-drip,,tennis visor,sunglasses,,
2065,Milady 2065,mountain,clay,sleepy,brown,red puffer,braid brown,spider neck tattoo,prep-hypebeast,a-drip,nose ring silver,tennis visor,yy glasses,,
2066,Milady 2066,mountain,pink,classic,blue,football shirt,bowl brown,,hypebeast,b-drip,nose ring silver,,,,cherry earring
2067,Milady 2067,sunset,clay,sparkle,blue,silk shirt,braid brown,,hypebeast,b-drip,,,,,chain earrings
2068,Milady 2068,sunrise,pale,classic,aqua,maf rothko,bowl brown,,hypebeast-harajuku,c-drip,,cat earmuffs,,,
2069,Milady 2069,casino,pink,closed,blue,cactus shirt,short orange,,gyaru,c-drip,,,,,
2070,Milady 2070,clouds,tan,classic,green,green blazer,og blonde,castle neck tattoo,lolita-prep,a-drip,face piercings,fuzz earmuffs,,,heart pearls earring
2071,Milady 2071,roadside,pale,sparkle,blue,sailor lolita,bowl purple,,lolita-prep,c-drip,star heart tattoo,plaid bonnet,,,
2072,Milady 2072,sunset,pale,classic,lilac,bosozuku jacket,braid blue,,prep-harajuku,ss-drip,face piercings,bean hat,round glasses,coral cross necklace,
2073,Milady 2073,sunrise,tan,dilated,blue,blue pink shirt,tuft dark,,lolita-prep,normal,,bean hat,,,
2074,Milady 2074,sonora,clay,sparkle,brown,blue sweatervest,short blonde,,prep-gyaru,normal,,trucker construction,,,loop chain earring
2075,Milady 2075,sunrise,pink,dilated,brown,ulzzang coat,bowl slate,,prep,normal,,,,,
2076,Milady 2076,mountain,clay,classic,brown,red puffer,tuft dark,anime chest tattoo,hypebeast-gyaru,normal,,trucker oasis,round glasses,,
2077,Milady 2077,sunrise,black,sleepy,blue,zip polo,og orange,,harajuku,b-drip,,,,,
2078,Milady 2078,sunset,clay,dilated,brown,ribbon lolita,tuft brown,,lolita,normal,nose ring silver,,,,
2079,Milady 2079,bushland,pale,teary,blue,im cute im punk shirt,bowl black,,gyaru,normal,,,,,strawberry earring
2080,Milady 2080,bushland,pale,teary,green,leopard vest,tuft dark,,harajuku,c-drip,,,cobain glasses,,loop chain earring
2081,Milady 2081,sunrise,clay,classic,brown,peter pan collar shirt,short blonde,castle neck tattoo,lolita-prep,normal,,plaid bonnet,,,
2082,Milady 2082,nagano,pale,sparkle,green,chore coat,braid brown,,prep-hypebeast,b-drip,,varsity cap,,,cherry earring
2083,Milady 2083,clouds,clay,dilated,blue,mape hoodie,braid green,,hypebeast,c-drip,,,prescription glasses,,
2084,Milady 2084,casino,pale,teary,green,red puffer,short orange,,hypebeast,a-drip,,meedles headband,mottega sunglasses blue,,
2085,Milady 2085,sunset,pink,sleepy,brown,super lover shirt,braid purple,,hypebeast-gyaru,b-drip,,treeprint bucket,,,
2086,Milady 2086,sonora,clay,classic,green,bear sweater,bowl blue,spider neck tattoo,prep,b-drip,teardrops tattoo,,cobain glasses,,
2087,Milady 2087,mountain,clay,dilated,brown,jesus tank,og black,,lolita-gyaru,normal,,pink bonnet,round glasses,mestwood pearl necklace,
2088,Milady 2088,mountain,clay,classic,brown,red puffer,short blue,,prep-hypebeast,normal,,varsity cap,,,
2089,Milady 2089,bushland,pale,dilated,brown,fuzzy coat,og black,,prep,c-drip,,ivy cap,,,
2090,Milady 2090,bushland,pale,closed,green,bowling shirt oriental,short orange,,hypebeast-gyaru,b-drip,,backwards trucker pink,,,
2091,Milady 2091,sunrise,clay,sparkle,lilac,red puffer,bowl black,castle neck tattoo,hypebeast-gyaru,normal,nose ring gold,trucker oasis,,,cross earring
2092,Milady 2092,sunrise,clay,sleepy,lilac,fuzzy coat,short orange,,prep-hypebeast,c-drip,,meedles headband,,,
2093,Milady 2093,sunrise,clay,teary,brown,mwo shirt,og orange,,gyaru,normal,,,,,
2094,Milady 2094,mountain,pink,crying,brown,maf creeper,tuft dark,,hypebeast,c-drip,,,,,diamond stud
2095,Milady 2095,mountain,clay,sleepy,green,mouse tank,short pink,,prep-gyaru,b-drip,star heart tattoo,tennis visor,,,
2096,Milady 2096,nagano,pink,sparkle,blue,western jacket,tuft dark,,prep-hypebeast,c-drip,face piercings,beret,,,
2097,Milady 2097,harajuku,pale,teary,green,goth poncho,bowl purple,,lolita,b-drip,,,,,dual rings silver
2098,Milady 2098,roadside,pale,teary,green,green blazer,bowl brown,,prep-gyaru,normal,,denim fish cap,,,
2099,Milady 2099,bushland,pale,sparkle,green,football shirt,braid green,,hypebeast,c-drip,,,,,
2100,Milady 2100,mountain,pink,sparkle,brown,mouse tank,tuft green,spider neck tattoo,prep-gyaru,c-drip,,earflap cap,,coral cross necklace,
2101,Milady 2101,sunrise,clay,classic,green,active dissident shirt,braids harajuku dye,,lolita-gyaru,a-drip,,fuzz earmuffs,mottega sunglasses blue,,
2102,Milady 2102,mountain,pink,sleepy,blue,maf rothko,short pink,,hypebeast,a-drip,,,,,cherry earring
2103,Milady 2103,bushland,pink,classic,brown,maf creeper,bowl green,,hypebeast-harajuku,c-drip,,heihei hat,,,
2104,Milady 2104,bushland,pale,sleepy,brown,mape hoodie,tuft blue,anime chest tattoo,hypebeast,b-drip,,,,,cherry earring
2105,Milady 2105,bushland,clay,teary,blue,jesus tank,braid blue,,gyaru,c-drip,teardrops tattoo,shy saints cap,,,
2106,Milady 2106,clouds,clay,sparkle,blue,tie dye shirt,og orange,,harajuku-gyaru,normal,,trucker oasis,,,
2107,Milady 2107,sunset,pink,sparkle,brown,red puffer,tuft green,,prep-hypebeast,normal,,earflap cap,,,
2108,Milady 2108,bushland,clay,classic,green,bowling shirt,tuft brown,,hypebeast-harajuku,c-drip,,heihei hat,,,
2109,Milady 2109,sunset,pink,classic,green,sailor lolita,tuft brown,,lolita-hypebeast,normal,,trucker gothic milady,,,
2110,Milady 2110,sunset,pink,teary,blue,fuzzy coat,og frosted blonde,,prep-hypebeast,b-drip,,buckethat,,,
2111,Milady 2111,xp,pale,sleepy,blue,maf rothko,og black,,hypebeast,s-drip,star heart tattoo,buckethat,,,chain earrings
2112,Milady 2112,roadside,pale,classic,lilac,meline teddy,braid blue,,hypebeast-gyaru,ss-drip,,trucker pink camo,yy glasses,,
2113,Milady 2113,train,tan,teary,aqua,pink knit polo,braid brown,,lolita-prep,b-drip,,pink bonnet,,,
2114,Milady 2114,mountain,clay,dilated,green,ribbon lolita,bowl brown,,lolita-hypebeast,normal,,alien hat,,,
2115,Milady 2115,sunset,tan,sleepy,green,active dissident shirt,og black,,gyaru,normal,,,,,
2116,Milady 2116,sunset,tan,sparkle,blue,fur coat,og blue,,lolita-prep,a-drip,snakebites,bean hat,,,
2117,Milady 2117,sunrise,black,dilated,lilac,football shirt,bowl black,,prep-hypebeast,a-drip,,plaid bonnet,,,chrome cross
2118,Milady 2118,sunrise,pink,crying,aqua,western jacket,short orange,,prep-hypebeast,a-drip,,ivy cap,round glasses,,
2119,Milady 2119,sunset,pink,dilated,green,mouse tank,bowl green,,gyaru,c-drip,,denim fish cap,,smiley bead necklace,
2120,Milady 2120,sunset,tan,sleepy,green,black blazer,tuft dark,,prep,normal,,,,,
2121,Milady 2121,casino,clay,sparkle,lilac,mape hoodie,og frosted blonde,castle neck tattoo,hypebeast-harajuku,s-drip,teardrops tattoo,cake hat,,,
2122,Milady 2122,xp,clay,closed,brown,maf rothko,bowl black,,hypebeast,normal,,,,,
2123,Milady 2123,sunrise,pink,dilated,blue,western jacket,braids harajuku dye,,prep-hypebeast,b-drip,,beret,,,
2124,Milady 2124,sunrise,clay,sleepy,green,zip polo,og orange,,prep-harajuku,b-drip,,varsity cap,,pearl necklace,
2125,Milady 2125,casino,pale,sparkle,blue,bowling shirt,tuft dark,,hypebeast-harajuku,a-drip,,heihei hat,,smiley bead necklace,cherry earring
2126,Milady 2126,bushland,pale,teary,green,peter pan collar shirt,tuft dark,anime chest tattoo,lolita,normal,,,,,
2127,Milady 2127,mountain,pink,teary,lilac,kogal cardigan,bowl slate,,prep-gyaru,c-drip,,brown cowboy hat,mottega sunglasses yellow,,
2128,Milady 2128,sunrise,pink,dilated,lilac,cardigan tee,short green,,harajuku-gyaru,b-drip,,trucker hat 911,,pearl necklace,
2129,Milady 2129,sonora,alien,spiral,green,remilia tank,braid purple,,gyaru,ss-drip,,trucker im so,,pearl necklace,cherry earring
2130,Milady 2130,sunset,pale,crying,brown,bowling shirt,bowl brown,,hypebeast,c-drip,,,,lean neck tattoo,
2131,Milady 2131,yashima,pink,sleepy,green,special people shirt,braid brown,spider neck tattoo,gyaru,a-drip,,flower clip,prescription glasses,,
2132,Milady 2132,xp,pink,smug,green,kogal cardigan,braid black,,prep,b-drip,,,,,bar piercings
2133,Milady 2133,sunset,pale,sparkle,green,remilia tank,braid blue,,harajuku-gyaru,s-drip,,kossphones,,evil eye necklace,safety pin piercing
2134,Milady 2134,sunset,pink,teary,blue,hikki condition shirt,braid green,lean neck tattoo,gyaru,ss-drip,crescent tattoo,trucker anime,,,
2135,Milady 2135,sunrise,pink,sparkle,blue,blue sweatervest,braid brown,,prep-gyaru,c-drip,,brown cowboy hat,,milady beads,
2136,Milady 2136,sunrise,black,sparkle,green,black blazer,bowl slate,,prep-gyaru,b-drip,gucci cone tattoo,trucker im so,,,
2137,Milady 2137,bushland,tan,classic,green,pink knit polo,bowl green,,prep,c-drip,snakebites,,,,
2138,Milady 2138,sunset,tan,teary,brown,blue sweatervest,braid black,,prep-harajuku,c-drip,,bear ears,,girl necklace,
2139,Milady 2139,harajuku,pale,crying,blue,hikki condition shirt,bowl green,spider neck tattoo,gyaru,s-drip,,trucker im so,harajuku glasses,,
